appmetrica_device_id,split
14669066413912753529,train
15547273523005239533,train
11875219125277119147,train
8163507698635310623,train
429212835811885514,train
17285791541271726446,train
2389683103932392850,train
13173194896191537178,train
4640018734954285108,train
14285134982523974139,train
3379030797522339557,train
8547080230380548559,train
7718063803987254553,train
244727042469323720,train
11473342821806863220,train
17796952081923009982,train
16937964972799130014,train
3270860685178989974,train
13823586100001487844,train
13652742577908844537,train
4897971364194941800,train
10154437154587396770,train
15295560879663267287,train
14505714449546816574,train
17253655097939322059,train
3789477217014259230,train
10873202204557195176,train
16021129506668139184,train
8237467731054682007,train
1080157738394009746,train
877632254706091933,train
11562426738889114305,train
8124361122059779386,train
17235361423560932025,train
9988784853627688602,train
15834548836995553854,train
9097879227423213185,train
17766300285392932503,train
3271001422298589926,train
14310367539187252016,train
12400242541617112019,train
4810557105599309349,train
4841805775817390858,train
3047363408140774377,train
17117718808264351918,train
9312653090120356292,train
5186171219390610418,train
6085891226484343047,train
11925281717896615440,train
17823872488093892983,train
9140684476468429336,train
1647177528957138061,train
18274236766629242556,train
2028480873731143133,train
6151641417166800716,train
6457993762187836952,train
14084139543050883102,train
10130619435838487374,train
4973865191480953887,train
14657040425634591862,train
3319283766253789300,train
15875022911861959872,train
13109396028365091061,train
6005971509032369222,train
10168501554108572613,train
4543327610620431575,train
17419786637384560641,train
17891388732531923948,train
4930804674642402231,train
11588833267771818927,train
11052396927751365874,train
2175209182335909314,train
11186750454523933031,train
2173667182323393624,train
16356747710032562703,train
12045600247728132354,train
15741630345291780698,train
11455090279239268572,train
2997449474227025370,train
6616215786224231854,train
14334757179895394260,train
2584396568391570847,train
84008476731407489,train
16940882404369740051,train
13350953131025609910,train
13730391393076131496,train
11258528560239219995,train
13021390336477046892,train
5027356186457892987,train
4377905869146116238,train
4345560820552321177,train
17928411577828776923,train
11701232690894769347,train
4571114895564683855,train
7637829040417606451,train
8352069018646062007,train
8022957035795535425,train
10962268270187248522,train
7136399466106777943,train
3369586373845043539,train
10220689209459390471,train
10327748774853200028,train
12083381264951866736,train
18363762903987001100,train
6229883395564748549,train
13512559230318264231,train
7737009516636419329,train
17656551430523426059,train
17238071312638337560,train
11208958507750680104,train
2167126053541894406,train
18007977215825388712,train
5222629791850136964,train
15077979744986739078,train
12078225719039641627,train
590477129287525472,train
174038350458658450,train
9314557744750250774,train
11686098155011914603,train
12940637579032278055,train
16871897747487997098,train
13353465870858794134,train
11123564360002970325,train
2712518500009923726,train
5843499183885126157,train
9973371283632077639,train
14165854896342027915,train
17345672129042058764,train
13153827327600379461,train
16900552348193394464,train
8324243032221532318,train
13903027048598825125,train
2700330416741311850,train
1337413951514413437,train
7209186455420071864,train
5273525658895150716,train
3475726530412235588,train
2773047178227404516,train
6336377951124195671,train
17328031159106878125,train
17242871359624706472,train
12278556397235139418,train
5991762211821782837,train
9366863365766431087,train
14114196030934166159,train
4162414017300004368,train
11007461926978664630,train
6759797630866643815,train
13003449566730018414,train
17648706095544227943,train
10882092682624918290,train
18039709153061022900,train
12144221403891227967,train
13830192697583428199,train
16573138228265643823,train
5804077244881755526,train
15674622965668949182,train
194124931026472364,train
4730548071414450268,train
1992752983955972259,train
13931517401387816020,train
11536661560500249806,train
15827158326780621294,train
16408687599723992478,train
16526739882470647462,train
937958478370383970,train
382516661175096706,train
17923359570964235916,train
1844605222162853942,train
2109005678797648590,train
14400246218543368746,train
795429154960257083,train
11611524716608045294,train
7405674394163429118,train
12341111674322241561,train
2927845716318214974,train
17651462828885603259,train
13011541587318969498,train
5686535115758619893,train
8662961672508522136,train
10779905308782074050,train
4321984593033085819,train
4796606664746278409,train
14190844638341723981,train
3278446063453865820,train
9380686069239432656,train
18307324566758317944,train
14571643872871084266,train
14221567284313692019,train
16028292968607040714,train
15822257671074061565,train
3448367249425472333,train
10293368512546417204,train
11458181311505822015,train
2415104814082226477,train
11472636085821418409,train
17956364804032408778,train
1496358978263586509,train
7970519565426298826,train
8713244394537421156,train
6922154339547304164,train
16541084106884968906,train
3959844940137582391,train
7924114012814451257,train
16320248525571556932,train
15080265003939263248,train
15965275115485057480,train
2952590912860080229,train
13488083175040420706,train
8157567067036183915,train
2417614873691373654,train
6036003301963666376,train
5338984809277112122,train
1133262417961647082,train
16043319643092052322,train
4813966016293436786,train
13555242467799418122,train
16476698999082096194,train
1226187383533292739,train
4162974664515429987,train
5504659503931731777,train
9450986891588998636,train
6085991825997219695,train
15916251567985522772,train
1995838584633111894,train
15761122956045219311,train
11493033469166811398,train
3638925539327725534,train
8631762410179533316,train
16979417685980639771,train
143397760022348047,train
13029430633384824810,train
4189063444370306414,train
10551844947236333709,train
12590174128024809548,train
13853127625667292683,train
18146481958983304305,train
16060256989745595106,train
13914554733483040796,train
18219740129066049799,train
6480910925646772708,train
17035923006215849704,train
15227001701100587168,train
8954280718336330018,train
14860116874600021036,train
870967932767143449,train
